Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 11,610037,Arthur A Libby Elementary School,360,40,11.11%,70,19.44%,356,98.89%
Network 12,609887,Arthur Dixon Elementary School,595,3,0.50%,68,11.43%,483,81.18%
Network 1,609836,Arthur E Canty Elementary School,833,151,18.13%,113,13.57%,398,47.78%
Network 12,610268,Arthur R Ashe Elementary School,320,,,32,10.00%,289,90.31%
Network 11,609941,Asa Philip Randolph Elementary School,510,18,3.53%,49,9.61%,439,86.08%
Network 10,610287,Ashburn Community Elementary School,486,40,8.23%,83,17.08%,378,77.78%
Charter,400060,Asian Human Services - Passages Charter School,456,165,36.18%,45,9.87%,327,71.71%
Charter,400172,ASPIRA Business and Finance,165,55,33.33%,37,22.42%,162,98.18%
Charter,400013,ASPIRA Charter School - Early College High School,451,127,28.16%,94,20.84%,431,95.57%
Charter,400017,ASPIRA Charter School - Haugan Middle School,532,99,18.61%,62,11.65%,512,96.24%
Network 4,609820,Augustus H Burley Elementary School,522,13,2.49%,73,13.98%,80,15.33%
Network 3,400018,Austin Business and Entrepreneurship Academy HS,102,1,0.98%,20,19.61%,93,91.18%
Network 3,610501,Austin Polytechnical Academy High School,122,1,0.82%,34,27.87%,119,97.54%
Network 12,609786,Avalon Park Elementary School,332,1,0.30%,44,13.25%,297,89.46%
Network 8,610563,Back of the Yards IB HS,790,102,12.91%,69,8.73%,758,95.95%
Options,610555,Banner Academy West,307,6,1.95%,54,17.59%,292,95.11%
Network 10,609871,Barbara Vick Early Childhood & Family Center,355,86,24.23%,154,43.38%,113,31.83%
Network 3,609922,Belmont-Cragin Elementary School,608,330,54.28%,69,11.35%,392,64.47%
ISP,609764,Benito Juarez Community Academy High School,"1,686",262,15.54%,256,15.18%,"1,623",96.26%
Network 11,610290,Benjamin E Mays Elementary Academy,480,1,0.21%,75,15.63%,450,93.75%
ISP,610076,Bernhard Moos Elementary School,566,143,25.27%,74,13.07%,494,87.28%
Charter,400074,Betty Shabazz - Barbara A. Sizemore,269,,,24,8.92%,251,93.31%
Charter,400072,Betty Shabazz - Betty Shabazz,315,,,37,11.75%,279,88.57%
Charter,400073,Betty Shabazz - DuSable Leadership,51,,,12,23.53%,48,94.12%
Network 9,610175,Beulah Shoesmith Elementary School,348,12,3.45%,34,9.77%,282,81.03%
Network 10,610087,Blair Early Childhood Center,163,71,43.56%,138,84.66%,106,65.03%
OS4,610323,Bowen High School,359,28,7.80%,97,27.02%,332,92.48%
Network 9,609969,Bret Harte Elementary School,384,29,7.55%,56,14.58%,284,73.96%
AUSL,610106,Brian Piccolo Elementary Specialty School,589,134,22.75%,82,13.92%,525,89.13%
Network 8,610317,Brighton Park Elementary School,518,209,40.35%,44,8.49%,473,91.31%
Charter,400019,Bronzeville Lighthouse Charter School,472,1,0.21%,55,11.65%,423,89.62%
OS4,610381,Bronzeville Scholastic Academy High School,448,8,1.79%,62,13.84%,418,93.30%
ISP,609821,Burnham Elementary Inclusive Academy,552,5,0.91%,70,12.68%,488,88.41%
Network 12,609827,Burnside Elementary Scholastic Academy,535,2,0.37%,73,13.64%,448,83.74%
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language,808,455,56.31%,110,13.61%,720,89.11%
Options,610572,Camelot Safe Elementary,15,,,3,20.00%,15,100.00%
Options,610584,Camelot Safe Garfield Elementary,1,,,,,1,100.00%
Options,610585,Camelot Safe Garfield HS,10,,,6,60.00%,10,100.00%
Options,610573,Camelot Safe HS,14,,,3,21.43%,13,92.86%
Network 1,609729,Carl Schurz High School,"2,002",347,17.33%,382,19.08%,"1,837",91.76%
Network 4,610039,Carl von Linne Elementary School,653,240,36.75%,87,13.32%,551,84.38%
Network 11,610238,Carrie Jacobs Bond Elementary School,333,3,0.90%,82,24.62%,292,87.69%
Network 10,609839,Carroll-Rosenwald Specialty Elementary School,479,7,1.46%,80,16.70%,412,86.01%
Network 9,610345,Carter G Woodson South Elementary School,386,6,1.55%,71,18.39%,329,85.23%
Charter,400115,Catalyst - Maria Charter School,"1,098",163,14.85%,194,17.67%,995,90.62%
Charter,400021,Catalyst Elementary Charter School - Circle Rock,521,,,69,13.24%,471,90.40%
ISP,610148,Cesar E Chavez Multicultural Academic Center ES,983,464,47.20%,98,9.97%,939,95.52%
Network 3,609679,Charles Allen Prosser Career Academy High School,"1,455",86,5.91%,165,11.34%,"1,382",94.98%
Network 5,610005,Charles Evans Hughes Elementary School,324,1,0.31%,38,11.73%,281,86.73%
Network 7,609966,Charles G Hammond Elementary School,479,233,48.64%,96,20.04%,438,91.44%
Network 10,609879,Charles Gates Dawes Elementary School,"1,038",227,21.87%,157,15.13%,903,86.99%
Network 11,610366,Charles H Wacker Elementary School,274,1,0.36%,31,11.31%,215,78.47%
Network 9,610030,Charles Kozminski Elementary Community Academy,343,2,0.58%,51,14.87%,301,87.76%
Network 6,609996,Charles N Holden Elementary School,496,109,21.98%,55,11.09%,423,85.28%
Network 12,609833,Charles P Caldwell Academy of Math & Science ES,277,5,1.81%,42,15.16%,229,82.67%
Network 3,609732,Charles P Steinmetz College Preparatory HS,"1,545",230,14.89%,272,17.61%,"1,395",90.29%
Network 4,609875,Charles R Darwin Elementary School,512,215,41.99%,81,15.82%,440,85.94%
Network 11,609986,Charles R Henderson Elementary School,338,7,2.07%,37,10.95%,303,89.64%
Network 12,609813,Charles S Brownell Elementary School,228,,,25,10.96%,228,100.00%
AUSL,609883,Charles S Deneen Elementary School,577,1,0.17%,88,15.25%,516,89.43%
Network 5,610194,Charles Sumner  Math & Science Community Acad ES,280,,,31,11.07%,263,93.93%
Network 11,609897,Charles W Earle Elementary School,486,2,0.41%,73,15.02%,419,86.21%
AUSL,610248,Chicago Academy Elementary School,612,180,29.41%,81,13.24%,437,71.41%
AUSL,610340,Chicago Academy High School,542,37,6.83%,98,18.08%,450,83.03%
Charter,400161,Chicago Collegiate Charter School,238,1,0.42%,32,13.45%,211,88.66%
Options,400147,Chicago Excel Academy,263,,,45,17.11%,231,87.83%
Network 10,609753,Chicago High School for Agricultural Sciences,717,7,0.98%,126,17.57%,365,50.91%
Contract,400022,Chicago High School for the Arts,605,3,0.50%,42,6.94%,331,54.71%
Charter,400035,Chicago Math and Science Academy Charter School,610,77,12.62%,58,9.51%,570,93.44%
Service Leadership Academies,609754,Chicago Military Academy High School,326,6,1.84%,37,11.35%,294,90.18%
Contract,400091,Chicago Technology Academy High School,328,4,1.22%,74,22.56%,310,94.51%
Charter,400036,Chicago Virtual Charter School,683,37,5.42%,96,14.06%,489,71.60%
OS4,609674,Chicago Vocational Career Academy High School,978,9,0.92%,254,25.97%,914,93.46%
Network 1,609899,Christian Ebinger Elementary School,776,42,5.41%,108,13.92%,147,18.94%
Network 13,609705,Christian Fenger Academy High School,271,2,0.74%,49,18.08%,270,99.63%
Network 5,609863,Christopher Columbus Elementary School,287,98,34.15%,19,6.62%,205,71.43%
Charter,400159,Christopher House Charter School,224,137,61.16%,22,9.82%,198,88.39%
Charter,400023,CICS - Avalon/South Shore,421,,,44,10.45%,368,87.41%
Charter,400024,CICS - Basil,719,39,5.42%,75,10.43%,641,89.15%
Charter,400025,CICS - Bucktown,678,106,15.63%,89,13.13%,530,78.17%
Charter,400113,CICS - ChicagoQuest North,225,9,4.00%,54,24.00%,188,83.56%
Charter,400027,CICS - Irving Park,536,74,13.81%,55,10.26%,314,58.58%
Charter,400108,CICS - Larry Hawkins,170,,,42,24.71%,161,94.71%
Charter,400092,CICS - Lloyd Bond,351,3,0.85%,46,13.11%,338,96.30%
Charter,400033,CICS - Longwood,"1,331",4,0.30%,196,14.73%,"1,178",88.50%
Charter,400026,CICS - Loomis Primary,571,1,0.18%,58,10.16%,431,75.48%
Charter,400034,CICS - Northtown,879,93,10.58%,176,20.02%,721,82.03%
Charter,400028,CICS - Prairie,410,127,30.98%,53,12.93%,374,91.22%
Charter,400032,CICS - Ralph Ellison,458,1,0.22%,73,15.94%,428,93.45%
Charter,400029,CICS - Washington Park,453,,,48,10.60%,406,89.62%
Charter,400030,CICS - West Belden,502,198,39.44%,70,13.94%,455,90.64%
Charter,400031,CICS - Wrightwood,730,2,0.27%,43,5.89%,601,82.33%
Network 11,609790,Clara Barton Elementary School,463,,,69,14.90%,384,82.94%
Network 10,610347,Claremont Academy Elementary School,472,36,7.63%,97,20.55%,428,90.68%
AUSL,610499,Collins Academy High School,355,1,0.28%,74,20.85%,349,98.31%
Network 8,610170,Columbia Explorers Elementary Academy,"1,183",492,41.59%,107,9.04%,"1,029",86.98%
Options,400038,Community Services West Academy,95,,,8,8.42%,76,80.00%
Options,609748,Consuella B York Alternative HS,290,1,0.34%,58,20.00%,252,86.90%
Network 13,610004,Countee Cullen Elementary School,207,3,1.45%,32,15.46%,193,93.24%
Network 5,609873,Crown Community Academy of Fine Arts Center ES,323,1,0.31%,55,17.03%,278,86.07%
Network 7,610063,Cyrus H McCormick Elementary School,779,412,52.89%,68,8.73%,719,92.30%
Network 2,609804,Daniel Boone Elementary School,828,358,43.24%,84,10.14%,688,83.09%
Network 1,610083,Daniel C Beard Elementary School,171,66,38.60%,133,77.78%,75,43.86%
Network 9,610380,Daniel Hale Williams Prep School of Medicine,265,,,27,10.19%,255,96.23%
Network 7,609870,Daniel J Corkery Elementary School,550,229,41.64%,69,12.55%,498,90.55%
Network 5,609835,Daniel R Cameron Elementary School,807,228,28.25%,105,13.01%,751,93.06%
Network 11,610223,Daniel S Wentworth Elementary School,560,9,1.61%,78,13.93%,507,90.54%
Network 5,610221,Daniel Webster Elementary School,322,,,36,11.18%,270,83.85%
Network 7,609704,David G Farragut Career Academy High School,916,250,27.29%,188,20.52%,889,97.05%
Network 4,610402,DeVry University Advantage Academy HS,197,,,6,3.05%,146,74.11%
AUSL,609885,Dewey Elementary Academy of Fine Arts,403,7,1.74%,43,10.67%,394,97.77%
Network 2,609859,DeWitt Clinton Elementary School,"1,131",520,45.98%,80,7.07%,911,80.55%
ISP,610564,Disney II Magnet High School,635,5,0.79%,64,10.08%,413,65.04%
ISP,610515,Disney II Magnet School,416,35,8.41%,33,7.93%,69,16.59%
Network 10,610077,Donald Morrill Math & Science Elementary School,839,300,35.76%,99,11.80%,707,84.27%
Network 13,610198,Douglas Taylor Elementary School,493,176,35.70%,65,13.18%,444,90.06%
Network 9,609751,Dr  Martin Luther King  Jr  College Prep HS,695,12,1.73%,64,9.21%,587,84.46%
ISP,610533,Dr Jorge Prieto Math and Science,"1,051",400,38.06%,186,17.70%,974,92.67%
Network 11,610299,Dr. Martin L. King Jr Academy of Social Justice,241,,,29,12.03%,226,93.78%
Network 13,610188,Dunne Technology Academy,252,,,28,11.11%,235,93.25%
Network 10,610352,Durkin Park Elementary School,682,263,38.56%,82,12.02%,566,82.99%
AUSL,610254,Dvorak Technology Academy,464,2,0.43%,45,9.70%,436,93.97%
Network 13,610132,Edgar Allan Poe Elementary Classical School,206,1,0.49%,7,3.40%,83,40.29%
ISP,609901,Edgebrook Elementary School,511,19,3.72%,57,11.15%,74,14.48%
Network 1,610523,Edison Park Elementary School,549,47,8.56%,80,14.57%,110,20.04%
OS4,609819,Edmond Burke Elementary School,447,1,0.22%,65,14.54%,392,87.70%
Network 12,609815,Edward A Bouchet Math & Science Academy ES,649,3,0.46%,93,14.33%,640,98.61%
Network 9,610246,Edward Beasley Elementary Magnet Academic Center,"1,440",3,0.21%,82,5.69%,"1,133",78.68%
Network 12,609862,Edward Coles Elementary Language Academy,500,1,0.20%,64,12.80%,420,84.00%
Network 8,609909,Edward Everett Elementary School,236,96,40.68%,30,12.71%,191,80.93%
Network 6,610012,Edward Jenner Elementary Academy of the Arts,246,1,0.41%,46,18.70%,227,92.28%
Network 3,609904,Edward K Ellington Elementary School,709,7,0.99%,118,16.64%,605,85.33%
Network 10,610006,Edward N Hurley Elementary School,862,238,27.61%,67,7.77%,766,88.86%
Network 8,609735,Edward Tilden Career Community Academy HS,311,15,4.82%,122,39.23%,298,95.82%
Network 13,610315,Edward White Elementary Career Academy,189,,,28,14.81%,163,86.24%
Network 1,609708,Edwin G Foreman High School,"1,045",220,21.05%,187,17.89%,985,94.26%
Network 7,610227,Eli Whitney Elementary School,"1,095",587,53.61%,91,8.31%,"1,062",96.99%
Network 2,609852,Eliza Chappell Elementary School,566,166,29.33%,89,15.72%,394,69.61%
Network 10,610195,Elizabeth H Sutherland Elementary School,697,,,92,13.20%,275,39.45%
Network 3,610235,Ella Flagg Young Elementary School,958,53,5.53%,125,13.05%,853,89.04%
Network 8,609682,Ellen H Richards Career Academy High School,276,63,22.83%,72,26.09%,260,94.20%
Network 5,610073,Ellen Mitchell Elementary School,375,66,17.60%,47,12.53%,218,58.13%
OS4,609712,Emil G Hirsch Metropolitan High School,150,,,55,36.67%,137,91.33%
ISP,609973,Emiliano Zapata Elementary Academy,882,450,51.02%,107,12.13%,855,96.94%
Network 9,610065,Emmett Louis Till Math and Science Academy,367,,,64,17.44%,329,89.65%
Network 8,610203,Enrico Tonti Elementary School,"1,116",401,35.93%,90,8.06%,952,85.30%
Charter,400094,EPIC Academy Charter High School,438,44,10.05%,96,21.92%,402,91.78%
AUSL,610543,Eric Solorio Academy High School,"1,111",141,12.69%,116,10.44%,"1,059",95.32%
Charter,400039,Erie Elementary Charter School,423,154,36.41%,64,15.13%,367,86.76%
Network 1,610137,Ernst Prussing Elementary School,698,192,27.51%,77,11.03%,505,72.35%
Network 10,609908,Esmond Elementary School,289,2,0.69%,39,13.49%,247,85.47%
Network 2,609918,Eugene Field Elementary School,300,87,29.00%,39,13.00%,284,94.67%
Network 1,609874,Everett McKinley Dirksen Elementary School,859,395,45.98%,99,11.53%,636,74.04%
Network 8,610319,Evergreen Academy Middle School,317,59,18.61%,55,17.35%,307,96.85%
Options,610565,Excel - Englewood HS,284,,,53,18.66%,266,93.66%
Options,400176,Excel - Southwest HS,197,,,56,28.43%,177,89.85%
Options,400175,Excel - Woodlawn HS,254,,,51,20.08%,231,90.94%
Network 10,610057,Fairfield Elementary Academy,604,227,37.58%,56,9.27%,585,96.85%
Network 4,610541,Federico Garcia Lorca Elementary School,898,405,45.10%,115,12.81%,816,90.87%
ISP,610120,Ferdinand Peck Elementary School,"1,646",660,40.10%,148,8.99%,"1,407",85.48%
Network 13,609917,Fernwood Elementary School,356,,,37,10.39%,333,93.54%
Network 8,610096,Florence Nightingale Elementary School,"1,323",656,49.58%,168,12.70%,"1,183",89.42%
Network 11,609924,Fort Dearborn Elementary School,386,,,52,13.47%,335,86.79%
Network 11,609927,Foster Park Elementary School,398,,,79,19.85%,345,86.68%
Charter,400171,Foundations College Preparatory Charter School,163,,,33,20.25%,151,92.64%
Network 10,610067,Francis M McKay Elementary School,836,63,7.54%,119,14.23%,725,86.72%
Network 11,610112,Francis W Parker Elementary Community Academy,699,,,59,8.44%,612,87.55%
Network 7,610215,Francisco I Madero Middle School,327,52,15.90%,51,15.60%,317,96.94%
Network 13,609800,Frank I Bennett Elementary School,353,,,35,9.92%,318,90.08%
Network 12,609939,Frank L Gillespie Elementary School,553,4,0.72%,76,13.74%,494,89.33%
Network 8,609958,Frank W Gunsaulus Elementary Scholastic Academy,804,327,40.67%,75,9.33%,688,85.57%
Network 4,610144,Frank W Reilly Elementary School,"1,039",503,48.41%,119,11.45%,962,92.59%
Network 4,609926,Franklin Elementary Fine Arts Center,360,12,3.33%,43,11.94%,153,42.50%
Network 3,610165,Franz Peter Schubert Elementary School,928,615,66.27%,96,10.34%,813,87.61%
Charter,400040,Frazier Preparatory Academy Charter School,428,,,43,10.05%,401,93.69%
Network 5,610503,Frazier Prospective IB Magnet ES,275,,,27,9.82%,244,88.73%
Network 5,609854,Frederic Chopin Elementary School,522,151,28.93%,110,21.07%,460,88.12%
Network 3,610245,Frederick A Douglass Academy High School,234,2,0.85%,68,29.06%,214,91.45%
Network 4,609930,Frederick Funston Elementary School,504,203,40.28%,71,14.09%,488,96.83%
Network 1,610163,Frederick Stock Elementary School,234,25,10.68%,107,45.73%,45,19.23%
Network 4,610010,Friedrich Ludwig Jahn Elementary School,323,55,17.03%,62,19.20%,221,68.42%
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"1,657",34,2.05%,106,6.40%,"1,298",78.33%
Network 8,609709,Gage Park High School,406,76,18.72%,76,18.72%,389,95.81%
Charter,400041,Galapagos Charter School,333,3,0.90%,39,11.71%,289,86.79%
Network 6,610009,Galileo Math & Science Scholastic Academy ES,548,54,9.85%,60,10.95%,356,64.96%
Network 5,610293,Genevieve Melody Elementary School,587,,,55,9.37%,479,81.60%
Network 2,609779,George Armstrong International Studies ES,"1,452",447,30.79%,160,11.02%,"1,324",91.18%
Network 6,610062,George B McClellan Elementary School,308,61,19.81%,76,24.68%,263,85.39%
Network 2,610196,George B Swift Elementary Specialty School,713,319,44.74%,87,12.20%,548,76.86%
Network 10,609849,George F Cassell Elementary School,405,15,3.70%,79,19.51%,82,20.25%
Network 13,609761,George H Corliss High School,419,3,0.72%,113,26.97%,392,93.56%
Network 3,610305,George Leland Elementary School,583,2,0.34%,77,13.21%,507,86.96%
Network 13,610139,George M Pullman Elementary School,329,5,1.52%,41,12.46%,290,88.15%
Network 4,610048,George Manierre Elementary School,349,2,0.57%,64,18.34%,334,95.70%
Network 3,609795,George Rogers Clark Elementary School,270,27,10.00%,32,11.85%,222,82.22%
AUSL,609900,George W Curtis Elementary School,628,11,1.75%,73,11.62%,564,89.81%
Network 5,610202,George W Tilton Elementary School,349,,,37,10.60%,312,89.40%
Service Leadership Academies,609760,George Washington Carver Military Academy HS,490,16,3.27%,29,5.92%,451,92.04%
Network 13,609845,George Washington Carver Primary School,485,,,50,10.31%,465,95.88%
Network 13,610219,George Washington Elementary School,884,78,8.82%,81,9.16%,656,74.21%
Network 13,609739,George Washington High School,"1,433",129,9.00%,203,14.17%,"1,297",90.51%
Network 5,609693,George Westinghouse College Prep,"1,176",29,2.47%,79,6.72%,"1,007",85.63%
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School,722,356,49.31%,79,10.94%,695,96.26%
Charter,400168,Great Lakes Academy Charter School,198,6,3.03%,12,6.06%,149,75.25%
Network 7,610383,Greater Lawndale High School For Social Justice,309,64,20.71%,56,18.12%,299,96.76%
Network 1,609857,Grover Cleveland Elementary School,679,275,40.50%,156,22.97%,570,83.95%
Network 10,609741,Gurdon S Hubbard High School,"1,705",243,14.25%,220,12.90%,"1,621",95.07%
ISP,609726,Gwendolyn Brooks College Preparatory Academy HS,836,1,0.12%,55,6.58%,608,72.73%
Network 1,610182,Hannah G Solomon Elementary School,355,92,25.92%,74,20.85%,192,54.08%
Network 3,610068,Hanson Park Elementary School,"1,550",702,45.29%,246,15.87%,"1,434",92.52%
Network 12,610124,Harold Washington Elementary School,415,3,0.72%,58,13.98%,391,94.22%
Network 5,610192,Harriet Beecher Stowe Elementary School,743,267,35.94%,144,19.38%,722,97.17%
Network 3,610158,Harriet E Sayre Elementary Language Academy,482,67,13.90%,51,10.58%,350,72.61%
Network 4,609974,Hawthorne Elementary Scholastic Academy,572,10,1.75%,52,9.09%,70,12.24%
Network 5,609985,Helen M Hefferan Elementary School,430,1,0.23%,55,12.79%,405,94.19%
Network 2,610122,Helen Peirce International Studies ES,"1,042",154,14.78%,92,8.83%,695,66.70%
Network 1,609972,Helge A Haugan Elementary School,"1,034",660,63.83%,122,11.80%,929,89.85%
Network 13,609856,Henry Clay Elementary School,586,148,25.26%,71,12.12%,514,87.71%
ISP,610040,Henry D Lloyd Elementary School,"1,237",742,59.98%,131,10.59%,"1,025",82.86%
Network 3,610092,Henry H Nash Elementary School,341,2,0.59%,28,8.21%,326,95.60%
Network 12,610279,Henry O Tanner Elementary School,384,4,1.04%,73,19.01%,319,83.07%
Network 10,609861,Henry R Clissold Elementary School,531,4,0.75%,76,14.31%,299,56.31%
Network 1,609798,Hiram H Belding Elementary School,605,137,22.64%,59,9.75%,396,65.45%
Network 11,609768,Hope College Preparatory High School,199,11,5.53%,61,30.65%,196,98.49%
Contract,400043,Hope Institute Learning Academy,379,10,2.64%,75,19.79%,286,75.46%
Network 4,609850,Horace Greeley Elementary School,655,154,23.51%,81,12.37%,551,84.12%
OS4,610052,Horace Mann Elementary School,385,1,0.26%,61,15.84%,325,84.42%
Charter,400167,Horizon Science Academy Southwest Chicago Charter,559,134,23.97%,73,13.06%,491,87.84%
Network 9,609713,Hyde Park Academy High School,807,3,0.37%,142,17.60%,771,95.54%
Service Leadership Academies,610390,Hyman G Rickover Naval Academy High School,577,19,3.29%,56,9.71%,506,87.69%
Network 9,610110,Ida B Wells Preparatory Elementary Academy,422,5,1.18%,23,5.45%,360,85.31%
Network 7,610384,Infinity Math Science and Technology High School,419,43,10.26%,49,11.69%,411,98.09%
Options,400148,Instituto - Justice Lozano,144,24,16.67%,29,20.14%,134,93.06%
Options,400164,Instituto - Justice Lozano Mastery,49,1,2.04%,4,8.16%,41,83.67%
Charter,400104,Instituto Health Sciences Career Academy,769,121,15.73%,115,14.95%,750,97.53%
Network 4,610078,Inter-American Elementary Magnet School,649,139,21.42%,58,8.94%,371,57.16%
Charter,400162,Intrinsic Charter School,827,92,11.12%,131,15.84%,705,85.25%
Network 13,609848,Ira F Aldridge Elementary School,194,,,22,11.34%,169,87.11%
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science,965,170,17.62%,111,11.50%,930,96.37%
Network 7,610125,Irma C Ruiz Elementary School,781,231,29.58%,86,11.01%,714,91.42%
Network 9,610276,Irvin C Mollison Elementary School,416,6,1.44%,40,9.62%,341,81.97%
AUSL,610103,Isabelle C O'Keeffe Elementary School,713,3,0.42%,68,9.54%,640,89.76%
Network 9,610256,Jackie Robinson Elementary School,139,,,10,7.19%,105,75.54%
Network 5,609797,Jacob Beidler Elementary School,520,2,0.38%,69,13.27%,443,85.19%
Network 1,609766,Jacqueline B Vaughn Occupational High School,193,71,36.79%,193,100.00%,155,80.31%
Network 1,609912,James B Farnsworth Elementary School,613,185,30.18%,150,24.47%,366,59.71%
Network 2,610070,James B McPherson Elementary School,802,194,24.19%,187,23.32%,638,79.55%
Network 12,610066,James E McDade Elementary Classical School,192,,,9,4.69%,83,43.23%
Network 4,609803,James G Blaine Elementary School,912,65,7.13%,88,9.65%,165,18.09%
Network 8,609983,James Hedges Elementary School,737,395,53.60%,93,12.62%,653,88.60%
Network 12,610047,James Madison Elementary School,220,,,35,15.91%,205,93.18%
Network 4,610074,James Monroe Elementary School,968,306,31.61%,101,10.43%,847,87.50%
Network 12,610200,James N Thorp Elementary School,353,44,12.46%,111,31.44%,312,88.39%
Network 6,610107,James Otis Elementary School,551,178,32.30%,129,23.41%,493,89.47%
Network 9,609891,James R Doolittle Jr Elementary School,307,3,0.98%,33,10.75%,265,86.32%
Network 5,610044,James Russell Lowell Elementary School,523,142,27.15%,139,26.58%,463,88.53%
Network 8,610174,James Shields Elementary School,"1,004",481,47.91%,97,9.66%,847,84.36%
Network 8,610559,James Shields Middle School,690,125,18.12%,117,16.96%,677,98.12%
Network 9,610213,James Wadsworth Elementary School,549,1,0.18%,54,9.84%,480,87.43%
Network 6,610217,James Ward Elementary School,552,207,37.50%,41,7.43%,435,78.80%
AUSL,610274,James Weldon Johnson Elementary School,520,,,69,13.27%,471,90.58%
Network 12,610093,Jane A Neil Elementary School,313,4,1.28%,131,41.85%,258,82.43%
Network 13,609772,Jane Addams Elementary School,894,194,21.70%,84,9.40%,730,81.66%
Network 1,609796,Jean Baptiste Beaubien Elementary School,"1,117",207,18.53%,101,9.04%,575,51.48%
Network 5,610271,Jensen Elementary Scholastic Academy,462,10,2.16%,53,11.47%,404,87.45%
Network 13,609943,Jesse Owens Elementary Community Academy,493,,,82,16.63%,452,91.68%
Network 11,610173,Jesse Sherwood Elementary School,356,,,75,21.07%,336,94.38%
Network 4,609942,Johann W von Goethe Elementary School,776,160,20.62%,90,11.60%,452,58.25%
Network 7,610216,John A Walsh Elementary School,432,115,26.62%,75,17.36%,371,85.88%
Network 9,609894,John B Drake Elementary School,419,7,1.67%,64,15.27%,391,93.32%
Network 1,610089,John B Murphy Elementary School,583,188,32.25%,90,15.44%,462,79.25%
Network 4,609789,John Barry Elementary School,771,316,40.99%,84,10.89%,684,88.72%
Network 8,609829,John C Burroughs Elementary School,482,169,35.06%,52,10.79%,443,91.91%
Network 2,609866,John C Coonley Elementary School,914,71,7.77%,99,10.83%,217,23.74%
ISP,609893,John C Dore Elementary School,715,115,16.08%,119,16.64%,403,56.36%
ISP,609959,John Charles Haines Elementary School,659,201,30.50%,30,4.55%,560,84.98%
Network 13,610176,John D Shoop Math-Science Technical Academy ES,481,1,0.21%,60,12.47%,426,88.57%
Network 10,609898,John F Eberhart Elementary School,"1,472",613,41.64%,126,8.56%,"1,407",95.58%
