Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610354,NORTH RIVER,  276 ,  142 ,51.5%,  68 ,24.6%,  168 ,60.9%
Network 1,610099,NORWOOD PARK,  427 ,  26 ,6.1%,  48 ,11.2%,  68 ,15.9%
Network 1,610104,ONAHAN,  677 ,  63 ,9.3%,  107 ,15.8%,  133 ,19.7%
Network 1,610105,ORIOLE PARK,  672 ,  43 ,6.4%,  64 ,9.5%,  124 ,18.5%
Network 1,610127,PETERSON,  884 ,  290 ,32.8%,  106 ,12.0%,  408 ,46.2%
Network 1,610135,PORTAGE PARK,  829 ,  161 ,19.4%,  123 ,14.8%,  443 ,53.4%
Network 1,610137,PRUSSING,  690 ,  229 ,33.2%,  87 ,12.6%,  384 ,55.7%
Network 1,610145,REINBERG,  711 ,  263 ,37.0%,  128 ,18.0%,  479 ,67.4%
Network 1,610155,SAUGANASH,  615 ,  70 ,11.4%,  52 ,8.5%,  96 ,15.6%
Network 1,610159,SCAMMON,  685 ,  261 ,38.1%,  72 ,10.5%,  547 ,79.9%
Network 1,610182,SOLOMON,  353 ,  105 ,29.8%,  75 ,21.3%,  136 ,38.5%
Network 1,610163,STOCK,  209 ,  13 ,6.2%,  109 ,52.2%,  19 ,9.1%
Network 1,610209,VOLTA,  724 ,  459 ,63.4%,  63 ,8.7%,  506 ,69.9%
Network 1,610230,WILDWOOD,  474 ,  23 ,4.9%,  55 ,11.6%,  38 ,8.0%
Network 2,609804,BOONE,  789 ,  347 ,44.0%,  84 ,10.7%,  654 ,82.9%
Network 2,610242,BRENNEMANN,  371 ,  118 ,31.8%,  79 ,21.3%,  198 ,53.4%
Network 2,610355,COURTENAY,  272 ,  66 ,24.3%,  97 ,35.7%,  187 ,68.8%
Network 2,609880,DECATUR,  286 ,  2 ,0.7%,  10 ,3.5%,  31 ,10.8%
Network 2,610363,DISNEY,"  1,538 ",  171 ,11.1%,  120 ,7.8%,  878 ,57.1%
Network 2,609918,FIELD,  137 ,  57 ,41.6%,  29 ,21.2%,  100 ,73.0%
Network 2,609933,GALE,  212 ,  70 ,33.0%,  55 ,25.9%,  159 ,75.0%
Network 2,609976,HAYT,  876 ,  319 ,36.4%,  121 ,13.8%,  546 ,62.3%
Network 2,610011,JAMIESON,  857 ,  249 ,29.1%,  116 ,13.5%,  485 ,56.6%
Network 2,609865,JORDAN,  445 ,  228 ,51.2%,  73 ,16.4%,  393 ,88.3%
Network 2,610022,KILMER,  742 ,  360 ,48.5%,  154 ,20.8%,  536 ,72.2%
Network 2,610269,MCCUTCHEON,  325 ,  128 ,39.4%,  111 ,34.2%,  285 ,87.7%
Network 2,610070,MCPHERSON,  620 ,  168 ,27.1%,  138 ,22.3%,  385 ,62.1%
Network 2,610284,NEW FIELD,  573 ,  191 ,33.3%,  96 ,16.8%,  340 ,59.3%
Network 2,610141,RAVENSWOOD,  533 ,  66 ,12.4%,  53 ,9.9%,  130 ,24.4%
Network 2,610191,STONE,  566 ,  110 ,19.4%,  45 ,8.0%,  219 ,38.7%
Network 2,610196,SWIFT,  594 ,  233 ,39.2%,  118 ,19.9%,  345 ,58.1%
Network 2,610220,WATERS,  647 ,  57 ,8.8%,  51 ,7.9%,  125 ,19.3%
Network 3,609830,BRUNSON,  413 ,  25 ,6.1%,  71 ,17.2%,  365 ,88.4%
Network 3,609818,BURBANK,  772 ,  381 ,49.4%,  107 ,13.9%,  495 ,64.1%
Network 3,610367,DEPRIEST,  483 ,  11 ,2.3%,  117 ,24.2%,  439 ,90.9%
Network 3,609904,ELLINGTON,  432 ,  5 ,1.2%,  70 ,16.2%,  376 ,87.0%
Network 3,609910,FALCONER,  971 ,  358 ,36.9%,  160 ,16.5%,  566 ,58.3%
Network 3,610068,HANSON PARK,"  1,304 ",  557 ,42.7%,  248 ,19.0%,  838 ,64.3%
Network 3,609975,HAY,  283 ,  13 ,4.6%,  41 ,14.5%,  228 ,80.6%
Network 3,610305,LELAND,  366 ,  3 ,0.8%,  59 ,16.1%,  258 ,70.5%
Network 3,610041,LOCKE J,"  1,195 ",  412 ,34.5%,  182 ,15.2%,  679 ,56.8%
Network 3,610043,LOVETT,  313 ,  24 ,7.7%,  27 ,8.6%,  215 ,68.7%
Network 3,610046,LYON,"  1,192 ",  499 ,41.9%,  148 ,12.4%,  826 ,69.3%
Network 3,610092,NASH,  231 ,  6 ,2.6%,  45 ,19.5%,  157 ,68.0%
Network 3,610051,NORTHWEST,  547 ,  251 ,45.9%,  74 ,13.5%,  458 ,83.7%
Network 3,610533,PRIETO,  866 ,  410 ,47.3%,  142 ,16.4%,  661 ,76.3%
Network 3,610158,SAYRE,  437 ,  51 ,11.7%,  58 ,13.3%,  199 ,45.5%
Network 3,610165,SCHUBERT,  574 ,  312 ,54.4%,  81 ,14.1%,  495 ,86.2%
Network 3,610183,SPENCER,  437 ,  3 ,0.7%,  50 ,11.4%,  324 ,74.1%
Network 3,610235,YOUNG ES,  589 ,  40 ,6.8%,  75 ,12.7%,  407 ,69.1%
Network 4,609774,ALCOTT ES,  614 ,  33 ,5.4%,  72 ,11.7%,  60 ,9.8%
Network 4,609782,AUDUBON,  521 ,  23 ,4.4%,  38 ,7.3%,  54 ,10.4%
Network 4,610325,AVONDALE-LOGANDALE,  575 ,  221 ,38.4%,  71 ,12.4%,  502 ,87.3%
Network 4,609789,BARRY,  504 ,  264 ,52.4%,  67 ,13.3%,  346 ,68.7%
Network 4,609799,BELL,  981 ,  52 ,5.3%,  91 ,9.3%,  112 ,11.4%
Network 4,609803,BLAINE,  746 ,  36 ,4.8%,  88 ,11.8%,  77 ,10.3%
Network 4,609809,BRENTANO,  600 ,  57 ,9.5%,  60 ,10.0%,  240 ,40.0%
Network 4,609853,CHASE,  388 ,  161 ,41.5%,  110 ,28.4%,  275 ,70.9%
Network 4,609875,DARWIN,  544 ,  233 ,42.8%,  95 ,17.5%,  442 ,81.3%
Network 4,609926,FRANKLIN,  364 ,  9 ,2.5%,  33 ,9.1%,  115 ,31.6%
Network 4,609930,FUNSTON,  423 ,  188 ,44.4%,  83 ,19.6%,  291 ,68.8%
Network 4,609942,GOETHE,  740 ,  168 ,22.7%,  103 ,13.9%,  303 ,41.0%
Network 4,609850,GREELEY,  444 ,  116 ,26.1%,  36 ,8.1%,  309 ,69.6%
Network 4,609963,HAMILTON,  460 ,  16 ,3.5%,  46 ,10.0%,  40 ,8.7%
Network 4,609974,HAWTHORNE,  569 ,  23 ,4.0%,  44 ,7.7%,  75 ,13.2%
Network 4,610078,INTER-AMERICAN,  701 ,  188 ,26.8%,  80 ,11.4%,  222 ,31.7%
Network 4,610010,JAHN,  308 ,  54 ,17.5%,  61 ,19.8%,  138 ,44.8%
Network 4,610033,LASALLE,  508 ,  9 ,1.8%,  60 ,11.8%,  135 ,26.6%
Network 4,610048,MANIERRE,  290 ,,,  41 ,14.1%,  251 ,86.6%
Network 4,610059,MAYER,  685 ,  14 ,2.0%,  55 ,8.0%,  62 ,9.1%
Network 4,609968,MCAULIFFE,  638 ,  258 ,40.4%,  76 ,11.9%,  501 ,78.5%
Network 4,610074,MONROE,  725 ,  213 ,29.4%,  108 ,14.9%,  506 ,69.8%
Network 4,610088,MOZART,  508 ,  242 ,47.6%,  81 ,15.9%,  476 ,93.7%
Network 4,610094,NETTELHORST,  714 ,  61 ,8.5%,  73 ,10.2%,  111 ,15.6%
Network 4,610095,NEWBERRY,  418 ,  19 ,4.6%,  61 ,14.6%,  205 ,49.0%
Network 4,610097,NIXON,  667 ,  330 ,49.5%,  91 ,13.6%,  537 ,80.5%
Network 4,610136,PRESCOTT,  505 ,  38 ,7.5%,  66 ,13.1%,  106 ,21.0%
Network 4,610144,REILLY,  681 ,  312 ,45.8%,  109 ,16.0%,  474 ,69.6%
Network 4,610534,SKINNER NORTH,  510 ,  3 ,0.6%,  27 ,5.3%,  31 ,6.1%
Network 5,609797,BEIDLER,  334 ,,,  29 ,8.7%,  317 ,94.9%
Network 5,610251,CATHER,  366 ,  10 ,2.7%,  88 ,24.0%,  283 ,77.3%
Network 5,609854,CHOPIN,  314 ,  110 ,35.0%,  95 ,30.3%,  281 ,89.5%
Network 5,609873,CROWN,  178 ,  5 ,2.8%,  32 ,18.0%,  148 ,83.2%
Network 5,610313,DE DIEGO,  454 ,  56 ,12.3%,  67 ,14.8%,  353 ,77.8%
Network 5,609907,ERICSON,  454 ,  2 ,0.4%,  42 ,9.3%,  325 ,71.6%
Network 5,610055,FARADAY,  207 ,  2 ,1.0%,  23 ,11.1%,  206 ,99.5%
Network 5,609954,GREGORY,  307 ,  2 ,0.7%,  47 ,15.3%,  294 ,95.8%
Network 5,609985,HEFFERAN,  255 ,,,  29 ,11.4%,  236 ,92.6%
Network 5,610005,HUGHES C,  232 ,,,  40 ,17.2%,  216 ,93.1%
Network 5,610271,JENSEN,  355 ,  6 ,1.7%,  45 ,12.7%,  311 ,87.6%
Network 5,609925,KELLMAN,  216 ,  2 ,0.9%,  13 ,6.0%,  157 ,72.7%
Network 5,610034,LAWNDALE,  207 ,,,  34 ,16.4%,  171 ,82.6%
Network 5,610044,LOWELL,  324 ,  106 ,32.7%,  99 ,30.6%,  266 ,82.1%
Network 5,610056,MASON,  299 ,  5 ,1.7%,  50 ,16.7%,  243 ,81.3%
Network 5,610293,MELODY,  326 ,,,  48 ,14.7%,  316 ,96.9%
Network 5,610073,MITCHELL,  368 ,  42 ,11.4%,  40 ,10.9%,  127 ,34.5%
Network 5,610076,MOOS,  427 ,  133 ,31.2%,  55 ,12.9%,  308 ,72.1%
Network 5,610123,PENN,  235 ,  12 ,5.1%,  56 ,23.8%,  214 ,91.1%
Network 5,610131,PLAMONDON,  141 ,  31 ,22.0%,  24 ,17.0%,  121 ,85.8%
Network 5,610192,STOWE,  584 ,  263 ,45.0%,  91 ,15.6%,  461 ,78.9%
Network 5,610194,SUMNER,  235 ,,,  28 ,11.9%,  214 ,91.1%
Network 5,610202,TILTON,  258 ,  4 ,1.6%,  24 ,9.3%,  245 ,95.0%
Network 5,610133,WARD L,  336 ,  12 ,3.6%,  70 ,20.8%,  312 ,92.9%
Network 5,610221,WEBSTER,  246 ,  1 ,0.4%,  24 ,9.8%,  181 ,73.6%
Network 5,610234,YATES,  322 ,  111 ,34.5%,  88 ,27.3%,  248 ,77.0%
Network 6,609777,ARMOUR,  253 ,  62 ,24.5%,  39 ,15.4%,  175 ,69.2%
Network 6,609812,BROWN W,  194 ,  7 ,3.6%,  45 ,23.2%,  160 ,82.5%
Network 6,609828,BURR,  492 ,  33 ,6.7%,  57 ,11.6%,  114 ,23.2%
Network 6,610252,DETT,  315 ,  9 ,2.9%,  103 ,32.7%,  289 ,91.8%
Network 6,609896,DRUMMOND,  347 ,  17 ,4.9%,  35 ,10.1%,  41 ,11.8%
Network 6,610009,GALILEO,  559 ,  86 ,15.4%,  70 ,12.5%,  172 ,30.8%
Network 6,609947,GRAHAM ES,  363 ,  68 ,18.7%,  43 ,11.9%,  260 ,71.6%
Network 6,609959,HAINES,  597 ,  135 ,22.6%,  28 ,4.7%,  369 ,61.8%
Network 6,609979,HEALY,"  1,343 ",  335 ,24.9%,  56 ,4.2%,  821 ,61.1%
Network 6,610121,IRVING,  310 ,  15 ,4.8%,  59 ,19.0%,  209 ,67.4%
Network 6,610060,JACKSON A,  505 ,  63 ,12.5%,  41 ,8.1%,  150 ,29.7%
Network 6,610029,LOZANO,  197 ,  66 ,33.5%,  67 ,34.0%,  109 ,55.3%
Network 6,610062,MCCLELLAN,  332 ,  36 ,10.8%,  81 ,24.4%,  222 ,66.9%
Network 6,610107,OTIS,  335 ,  129 ,38.5%,  110 ,32.8%,  265 ,79.1%
Network 6,610229,PRITZKER,  723 ,  41 ,5.7%,  56 ,7.8%,  210 ,29.1%
Network 6,610138,PULASKI,  881 ,  118 ,13.4%,  74 ,8.4%,  293 ,33.3%
Network 6,610308,RUDOLPH,  91 ,  34 ,37.4%,  88 ,96.7%,  67 ,73.6%
Network 6,610342,SABIN,  445 ,  84 ,18.9%,  43 ,9.7%,  289 ,64.9%
Network 6,610180,SMYTH,  412 ,  8 ,1.9%,  77 ,18.7%,  311 ,75.5%
Network 6,610405,SUDER,  437 ,  17 ,3.9%,  54 ,12.4%,  139 ,31.8%
Network 6,610197,TALCOTT,  425 ,  172 ,40.5%,  80 ,18.8%,  312 ,73.4%
Network 7,609867,COOPER,  454 ,  250 ,55.1%,  72 ,15.9%,  402 ,88.6%
Network 7,609967,FINKL,  241 ,  116 ,48.1%,  51 ,21.2%,  216 ,89.6%
Network 7,609938,GARY,  931 ,  416 ,44.7%,  131 ,14.1%,  743 ,79.8%
Network 7,609966,HAMMOND,  310 ,  141 ,45.5%,  53 ,17.1%,  251 ,81.0%
Network 7,609920,KANOON,  466 ,  209 ,44.9%,  50 ,10.7%,  441 ,94.6%
Network 7,610215,MADERO,  304 ,  117 ,38.5%,  48 ,15.8%,  277 ,91.1%
Network 7,610063,MCCORMICK,  531 ,  239 ,45.0%,  78 ,14.7%,  531 ,100.0%
Network 7,610329,OROZCO,  370 ,  149 ,40.3%,  46 ,12.4%,  286 ,77.3%
Network 7,609872,PEREZ,  304 ,  106 ,34.9%,  45 ,14.8%,  240 ,79.0%
Network 7,610013,PILSEN,  262 ,  118 ,45.0%,  47 ,17.9%,  228 ,87.0%
Network 7,610125,RUIZ,  523 ,  181 ,34.6%,  71 ,13.6%,  425 ,81.3%
Network 7,610017,SAUCEDO,  944 ,  397 ,42.1%,  124 ,13.1%,  848 ,89.8%
Network 7,610184,SPRY ES,  369 ,  182 ,49.3%,  46 ,12.5%,  272 ,73.7%
Network 7,609921,TELPOCHCALLI,  234 ,  141 ,60.3%,  44 ,18.8%,  191 ,81.6%
Network 7,610216,WALSH,  301 ,  103 ,34.2%,  83 ,27.6%,  183 ,60.8%
Network 7,610227,WHITNEY,  728 ,  354 ,48.6%,  62 ,8.5%,  486 ,66.8%
Network 7,610228,WHITTIER,  176 ,  107 ,60.8%,  34 ,19.3%,  118 ,67.1%
Network 8,610317,BRIGHTON PARK,  369 ,  163 ,44.2%,  52 ,14.1%,  354 ,95.9%
Network 8,610353,CALMECA,  705 ,  419 ,59.4%,  101 ,14.3%,  433 ,61.4%
Network 8,609855,CHRISTOPHER,  339 ,  197 ,58.1%,  182 ,53.7%,  302 ,89.1%
Network 8,610239,DALEY,  541 ,  285 ,52.7%,  46 ,8.5%,  423 ,78.2%
Network 8,609876,DAVIS N,  581 ,  294 ,50.6%,  98 ,16.9%,  509 ,87.6%
Network 8,609903,EDWARDS,"  1,344 ",  660 ,49.1%,  192 ,14.3%,  865 ,64.4%
Network 8,610319,EVERGREEN,  252 ,  90 ,35.7%,  39 ,15.5%,  166 ,65.9%
Network 8,609952,GREENE,  361 ,  130 ,36.0%,  41 ,11.4%,  307 ,85.0%
Network 8,609964,HAMLINE,  534 ,  294 ,55.1%,  91 ,17.0%,  438 ,82.0%
Network 8,609983,HEDGES,  524 ,  333 ,63.6%,  89 ,17.0%,  370 ,70.6%
Network 8,610532,HERNANDEZ,"  1,002 ",  347 ,34.6%,  101 ,10.1%,  818 ,81.6%
Network 8,610096,NIGHTINGALE,"  1,082 ",  471 ,43.5%,  170 ,15.7%,  840 ,77.6%
Network 8,610117,PASTEUR,  566 ,  191 ,33.8%,  62 ,11.0%,  426 ,75.3%
Network 8,610157,SAWYER,"  1,211 ",  462 ,38.2%,  125 ,10.3%,  892 ,73.7%
Network 8,610167,SEWARD,  563 ,  280 ,49.7%,  66 ,11.7%,  396 ,70.3%
Network 8,610174,SHIELDS,  545 ,  235 ,43.1%,  57 ,10.5%,  495 ,90.8%
Network 8,610559,SHIELDS MIDDLE,  571 ,  195 ,34.2%,  102 ,17.9%,  465 ,81.4%
Network 8,610589,SOR JUANA,  253 ,  47 ,18.6%,  15 ,5.9%,  75 ,29.6%
Network 9,609951,ARIEL,  442 ,  5 ,1.1%,  65 ,14.7%,  269 ,60.9%
Network 9,610246,BEASLEY,"  1,115 ",  2 ,0.2%,  91 ,8.2%,  662 ,59.4%
Network 9,610237,BEETHOVEN,  237 ,  2 ,0.8%,  39 ,16.5%,  219 ,92.4%
Network 9,610590,BRONZEVILLE CLASSICAL,  268 ,  3 ,1.1%,  7 ,2.6%,  47 ,17.5%
Network 9,609819,BURKE,  277 ,  3 ,1.1%,  44 ,15.9%,  253 ,91.3%
Network 9,609837,CARNEGIE,  567 ,  2 ,0.4%,  70 ,12.4%,  429 ,75.7%
Network 9,609891,DOOLITTLE,  223 ,  3 ,1.4%,  23 ,10.3%,  219 ,98.2%
Network 9,609894,DRAKE,  269 ,  5 ,1.9%,  47 ,17.5%,  254 ,94.4%
Network 9,609919,FISKE,  381 ,  8 ,2.1%,  49 ,12.9%,  301 ,79.0%
Network 9,609969,HARTE,  285 ,  17 ,6.0%,  33 ,11.6%,  162 ,56.8%
Network 9,609987,HENDRICKS,  202 ,  4 ,2.0%,  52 ,25.7%,  174 ,86.1%
Network 9,610030,KOZMINSKI,  244 ,  9 ,3.7%,  36 ,14.8%,  187 ,76.6%
Network 9,610276,MOLLISON,  285 ,  2 ,0.7%,  26 ,9.1%,  228 ,80.0%
Network 9,610090,MURRAY,  483 ,  8 ,1.7%,  61 ,12.6%,  223 ,46.2%
Network 9,610126,PERSHING,  527 ,  15 ,2.9%,  60 ,11.4%,  333 ,63.2%
Network 9,610142,RAY,  613 ,  34 ,5.6%,  80 ,13.1%,  298 ,48.6%
Network 9,610143,REAVIS,  238 ,  6 ,2.5%,  40 ,16.8%,  179 ,75.2%
Network 9,610256,ROBINSON,  112 ,  1 ,0.9%,  8 ,7.1%,  102 ,91.1%
Network 9,610175,SHOESMITH,  340 ,  17 ,5.0%,  39 ,11.5%,  222 ,65.3%
Network 9,610065,TILL,  309 ,,,  51 ,16.5%,  268 ,86.7%
Network 9,610213,WADSWORTH,  442 ,  2 ,0.5%,  41 ,9.3%,  341 ,77.2%
Network 9,610110,WELLS ES,  350 ,  1 ,0.3%,  40 ,11.4%,  281 ,80.3%
Network 9,609977,WOODLAWN,  181 ,  1 ,0.6%,  15 ,8.3%,  150 ,82.9%
Network 9,610345,WOODSON,  303 ,  3 ,1.0%,  70 ,23.1%,  227 ,74.9%
Network 10,610287,ASHBURN,  396 ,  33 ,8.3%,  75 ,18.9%,  253 ,63.9%
Network 10,609788,BARNARD,  266 ,  2 ,0.8%,  39 ,14.7%,  136 ,51.1%
Network 10,610087,BLAIR,  201 ,  62 ,30.9%,  158 ,78.6%,  125 ,62.2%
Network 10,609832,BYRNE,  621 ,  73 ,11.8%,  110 ,17.7%,  224 ,36.1%
Network 10,609839,CARROLL,  410 ,  13 ,3.2%,  56 ,13.7%,  253 ,61.7%
Network 10,610347,CLAREMONT,  420 ,  42 ,10.0%,  103 ,24.5%,  361 ,86.0%
Network 10,609861,CLISSOLD,  425 ,  7 ,1.7%,  88 ,20.7%,  142 ,33.4%
Network 10,609879,DAWES,  979 ,  261 ,26.7%,  179 ,18.3%,  877 ,89.6%
Network 10,609893,DORE,  729 ,  108 ,14.8%,  139 ,19.1%,  278 ,38.1%
Network 10,610352,DURKIN PARK,  703 ,  192 ,27.3%,  87 ,12.4%,  432 ,61.5%
Network 10,609898,EBERHART,"  1,147 ",  455 ,39.7%,  127 ,11.1%,  862 ,75.2%
Network 10,609908,ESMOND,  240 ,  1 ,0.4%,  38 ,15.8%,  179 ,74.6%
Network 10,610057,FAIRFIELD,  503 ,  238 ,47.3%,  55 ,10.9%,  490 ,97.4%
Network 10,609956,GRIMES,  428 ,  123 ,28.7%,  63 ,14.7%,  317 ,74.1%
Network 10,609960,HALE,  815 ,  160 ,19.6%,  111 ,13.6%,  420 ,51.5%
Network 10,609807,HAMPTON,  458 ,  124 ,27.1%,  75 ,16.4%,  361 ,78.8%
Network 10,609981,HEARST,  311 ,  87 ,28.0%,  99 ,31.8%,  213 ,68.5%
Network 10,610006,HURLEY,  758 ,  316 ,41.7%,  97 ,12.8%,  493 ,65.0%
Network 10,610084,KELLER,  217 ,  14 ,6.5%,  4 ,1.8%,  44 ,20.3%
Network 10,610016,KELLOGG,  276 ,  1 ,0.4%,  43 ,15.6%,  97 ,35.1%
Network 10,610067,MCKAY,  667 ,  94 ,14.1%,  112 ,16.8%,  492 ,73.8%
Network 10,610077,MORRILL,  525 ,  215 ,41.0%,  56 ,10.7%,  445 ,84.8%
Network 10,610109,OWEN,  272 ,,,  38 ,14.0%,  93 ,34.2%
Network 10,610588,RICHARDSON,"  1,084 ",  326 ,30.1%,  124 ,11.4%,  685 ,63.2%
Network 10,610185,STEVENSON,"  1,131 ",  421 ,37.2%,  196 ,17.3%,  663 ,58.6%
Network 10,610195,SUTHERLAND,  688 ,  6 ,0.9%,  91 ,13.2%,  174 ,25.3%
Network 10,610206,TWAIN,"  1,019 ",  212 ,20.8%,  111 ,10.9%,  708 ,69.5%
Network 10,610207,VANDERPOEL,  260 ,  1 ,0.4%,  31 ,11.9%,  90 ,34.6%
Network 10,609871,VICK,  261 ,  34 ,13.0%,  132 ,50.6%,  123 ,47.1%
Network 11,609790,BARTON,  331 ,  4 ,1.2%,  66 ,19.9%,  265 ,80.1%
Network 11,609791,BASS,  381 ,  4 ,1.1%,  40 ,10.5%,  330 ,86.6%
Network 11,610238,BOND,  238 ,,,  64 ,26.9%,  189 ,79.4%
Network 11,609864,COOK,  334 ,  5 ,1.5%,  41 ,12.3%,  269 ,80.5%
Network 11,610003,CUFFE,  213 ,,,  41 ,19.3%,  144 ,67.6%
Network 11,610521,DAVIS M,  178 ,  10 ,5.6%,  39 ,21.9%,  135 ,75.8%
Network 11,609897,EARLE,  306 ,  12 ,3.9%,  48 ,15.7%,  226 ,73.9%
Network 11,610362,EVERS,  226 ,  2 ,0.9%,  31 ,13.7%,  184 ,81.4%
Network 11,609924,FORT DEARBORN,  363 ,  1 ,0.3%,  67 ,18.5%,  277 ,76.3%
Network 11,609927,FOSTER PARK,  322 ,  3 ,0.9%,  93 ,28.9%,  243 ,75.5%
Network 11,609929,FULTON,  340 ,  121 ,35.6%,  51 ,15.0%,  285 ,83.8%
Network 11,610032,GREEN,  320 ,,,  83 ,25.9%,  209 ,65.3%
Network 11,609986,HENDERSON,  196 ,  30 ,15.3%,  37 ,18.9%,  193 ,98.5%
Network 11,609997,HOLMES,  130 ,  5 ,3.9%,  17 ,13.1%,  110 ,84.6%
Network 11,610369,JACKSON M,  330 ,  1 ,0.3%,  75 ,22.7%,  243 ,73.6%
Network 11,609805,JOPLIN,  369 ,,,  52 ,14.1%,  334 ,90.5%
Network 11,610019,KERSHAW,  241 ,  3 ,1.2%,  52 ,21.6%,  197 ,81.7%
Network 11,610299,KING ES,  238 ,  1 ,0.4%,  40 ,16.8%,  175 ,73.5%
Network 11,609869,LANGFORD,  196 ,  3 ,1.5%,  14 ,7.1%,  151 ,77.0%
Network 11,610037,LIBBY,  307 ,  67 ,21.8%,  55 ,17.9%,  254 ,82.7%
Network 11,610290,MAYS,  308 ,  9 ,2.9%,  46 ,14.9%,  273 ,88.6%
Network 11,609793,NICHOLSON,  447 ,  8 ,1.8%,  50 ,11.2%,  440 ,98.4%
Network 11,610102,OGLESBY,  351 ,  1 ,0.3%,  46 ,13.1%,  344 ,98.0%
Network 11,610108,OTOOLE,  309 ,  25 ,8.1%,  33 ,10.7%,  225 ,72.8%
Network 11,610112,PARKER,  402 ,  2 ,0.5%,  44 ,11.0%,  351 ,87.3%
Network 11,609941,RANDOLPH,  382 ,  13 ,3.4%,  41 ,10.7%,  351 ,91.9%
Network 11,610153,RYDER,  353 ,  3 ,0.9%,  96 ,27.2%,  263 ,74.5%
Network 11,610223,WENTWORTH,  388 ,  14 ,3.6%,  92 ,23.7%,  338 ,87.1%
Network 11,610300,WESTCOTT,  418 ,  2 ,0.5%,  71 ,17.0%,  318 ,76.1%
Network 12,610268,ASHE,  328 ,  1 ,0.3%,  45 ,13.7%,  266 ,81.1%
Network 12,610350,BLACK,  447 ,  5 ,1.1%,  41 ,9.2%,  234 ,52.4%
Network 12,609815,BOUCHET,  605 ,  5 ,0.8%,  57 ,9.4%,  573 ,94.7%
Network 12,609813,BROWNELL,  175 ,  5 ,2.9%,  18 ,10.3%,  156 ,89.1%
Network 12,609827,BURNSIDE,  364 ,  2 ,0.6%,  58 ,15.9%,  256 ,70.3%
Network 12,609862,COLES,  326 ,  4 ,1.2%,  39 ,12.0%,  291 ,89.3%
Network 12,609887,DIXON,  558 ,  2 ,0.4%,  57 ,10.2%,  325 ,58.2%
Network 12,610316,EARHART,  234 ,,,  17 ,7.3%,  144 ,61.5%
Network 12,609939,GILLESPIE,  429 ,  2 ,0.5%,  60 ,14.0%,  312 ,72.7%
Network 12,610002,HOYNE,  220 ,,,  20 ,9.1%,  123 ,55.9%
Network 12,610047,MADISON,  189 ,  1 ,0.5%,  20 ,10.6%,  177 ,93.7%
Network 12,610052,MANN,  295 ,  6 ,2.0%,  34 ,11.5%,  266 ,90.2%
Network 12,610066,MCDADE,  181 ,  1 ,0.6%,  5 ,2.8%,  52 ,28.7%
Network 12,610171,MIRELES,  420 ,  98 ,23.3%,  48 ,11.4%,  397 ,94.5%
Network 12,610093,NEIL,  265 ,  9 ,3.4%,  94 ,35.5%,  194 ,73.2%
Network 12,610193,NEW SULLIVAN,  431 ,  41 ,9.5%,  90 ,20.9%,  395 ,91.7%
Network 12,609961,NINOS HEROES,  291 ,  30 ,10.3%,  23 ,7.9%,  228 ,78.4%
Network 12,610115,PARK MANOR,  258 ,  3 ,1.2%,  30 ,11.6%,  217 ,84.1%
